app_id,classification,predict_class,Risk Score,Decision Criteria
100001,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1000303,Fraud,Fraud,1,requested_amount > 50500.0
1000706,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1001109,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1001512,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1001915,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1002318,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1002721,Fraud,Fraud,1,requested_amount > 50500.0
1003124,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1003527,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1003930,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
100404,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1004333,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1004736,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1005139,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1005542,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1005945,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1006348,,Fraud,1,requested_amount > 50500.0
1006751,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1007154,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1007557,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1007960,,Fraud,1,requested_amount > 50500.0
100807,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1008363,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1008766,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1009169,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1009572,Fraud,Fraud,1,requested_amount > 50500.0
1009975,Fraud,Fraud,1,requested_amount > 50500.0
1010378,Fraud,Fraud,1,requested_amount > 50500.0
1010781,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1011184,Fraud,Fraud,1,requested_amount > 50500.0
1011587,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1011990,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
101210,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1012393,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1012796,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1013199,Fraud,Fraud,1,requested_amount > 50500.0
1013602,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1014005,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1014408,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1014811,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1015214,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
